MJD,Aether_x,Aether_y,Aether_z,Aether_vx,Aether_vy,Aether_vz,Caelus_x,Caelus_y,Caelus_z,Caelus_vx,Caelus_vy,Caelus_vz,Ventus_x,Ventus_y,Ventus_z,Ventus_vx,Ventus_vy,Ventus_vz,Glacia_x,Glacia_y,Glacia_z,Glacia_vx,Glacia_vy,Glacia_vz
60000.0,46914560.000000,0.000000,0.000000,-0.000000,55.032827,0.000000,-129263505.747210,27661956.389692,0.000000,-7.543343,-31.311034,0.000000,227229873.100559,-118483789.138162,0.000000,9.168952,20.864117,0.000000,-26705698.595009,-399326586.884022,0.000000,18.771504,-2.269434,0.000000
60005.0,41138632.472259,22791252.856825,0.000000,-26.146535,48.274054,0.000000,-131791352.779621,14005744.220126,0.000000,-4.153114,-31.852395,0.000000,231013902.849050,-109381083.464817,0.000000,8.346373,21.273124,0.000000,-18591547.157394,-400226037.299210,0.000000,18.792733,-1.894753,0.000000
60010.0,25297705.421671,40021928.546707,0.000000,-45.606646,29.906859,0.000000,-132848775.292873,193073.331785,0.000000,-0.741875,-32.035631,0.000000,234438320.106360,-100108129.864335,0.000000,7.504219,21.652132,0.000000,-10469879.436310,-400963721.385333,0.000000,18.806309,-1.520543,0.000000
60015.0,3370209.851556,47666451.838059,0.000000,-53.819396,4.884323,0.000000,-132434470.716133,-13621909.667492,0.000000,2.654555,-31.863891,0.000000,237494854.180077,-90678108.353481,0.000000,6.643359,22.000121,0.000000,-2343992.101047,-401539877.020184,0.000000,18.812276,-1.146963,0.000000
60020.0,-19370318.473311,44180461.887705,0.000000,-49.413121,-20.585431,0.000000,-130562375.278553,-27287101.118965,0.000000,6.001476,-31.343446,0.000000,240175620.851701,-81104638.159030,0.000000,5.764714,22.316077,0.000000,5782838.188879,-401954810.823943,0.000000,18.810682,-0.774171,0.000000
60025.0,-37729894.509478,30645377.585519,0.000000,-34.016043,-40.800707,0.000000,-127261142.940274,-40653741.817838,0.000000,9.265475,-30.483471,0.000000,242473146.402398,-71401775.608709,0.000000,4.869262,22.598992,0.000000,13907356.224205,-402208897.121369,0.000000,18.801580,-0.402324,0.000000
60030.0,-47710993.350050,10285489.764265,0.000000,-11.370089,-51.663018,0.000000,-122573559.410248,-53577625.233317,0.000000,12.414561,-29.295836,0.000000,244380392.730113,-61584010.852459,0.000000,3.958043,22.847866,0.000000,22026329.638296,-402302576.877332,0.000000,18.785022,-0.031574,0.000000
60035.0,-47211286.111966,-12338929.443393,0.000000,13.642857,-51.121306,0.000000,-116555904.146170,-65920220.506511,0.000000,15.418270,-27.794919,0.000000,245890783.535821,-51666263.275283,0.000000,3.032157,23.061712,0.000000,30136550.251314,-402236356.607839,0.000000,18.761067,0.337929,0.000000
60040.0,-36334861.397334,-32245160.453931,0.000000,35.812342,-39.275398,0.000000,-109277269.766589,-77549719.316485,0.000000,18.247759,-25.997438,0.000000,246998231.544965,-41663875.456915,0.000000,2.092767,23.239559,0.000000,38234835.366160,-402010807.268641,0.000000,18.729776,0.706036,0.000000
60045.0,-17377728.894337,-44958799.534995,0.000000,50.325218,-18.372912,0.000000,-100818844.970606,-88342016.033751,0.000000,20.875885,-23.922313,0.000000,247697166.716989,-31592605.528103,0.000000,1.141105,23.380454,0.000000,46318029.016241,-401626563.123496,0.000000,18.691210,1.072603,0.000000
60050.0,5516121.910490,-47422794.641807,0.000000,53.592421,7.312835,0.000000,-91273163.932370,-98181630.293472,0.000000,23.277277,-21.590537,0.000000,247982565.381463,-21468617.768628,0.000000,0.178469,23.483470,0.000000,54383003.165217,-401084320.594093,0.000000,18.645437,1.437487,0.000000
60055.0,27092538.912262,-38785630.021889,0.000000,44.231368,31.975571,0.000000,-80743322.270833,-106962580.291471,0.000000,25.428424,-19.025076,0.000000,247849980.223378,-11308471.288474,0.000000,-0.793772,23.547708,0.000000,62426658.858965,-400384837.093615,0.000000,18.592525,1.800547,0.000000
60060.0,42138838.361353,-20839035.479854,0.000000,23.917089,49.442079,0.000000,-69342157.131923,-114589213.797958,0.000000,27.307754,-16.250772,0.000000,247295571.023003,-1129106.631071,0.000000,-1.774174,23.572302,0.000000,70445927.330035,-399528929.845854,0.000000,18.532546,2.161648,0.000000
60065.0,46864064.297859,2197766.558490,0.000000,-2.527471,54.973594,0.000000,-57191386.695770,-120977002.148179,0.000000,28.895740,-13.294268,0.000000,246316136.036971,9052169.863565,0.000000,-2.761225,23.556425,0.000000,78437771.055009,-398517474.691765,0.000000,18.465571,2.520655,0.000000
60070.0,40050519.035021,24694769.679228,0.000000,-28.317181,47.004499,0.000000,-44420702.571324,-126053300.348598,0.000000,30.175018,-10.183925,0.000000,244909143.887362,19217704.097306,0.000000,-3.753334,23.499295,0.000000,86399184.765167,-397351404.885246,0.000000,18.391679,2.877435,0.000000
60075.0,23449890.593288,41174411.872801,0.000000,-46.883354,27.780356,0.000000,-31166807.104758,-129758073.967727,0.000000,31.130518,-6.949750,0.000000,243072765.804292,29349514.812952,0.000000,-4.748839,23.400181,0.000000,94327196.410999,-396031709.879939,0.000000,18.310945,3.231861,0.000000
60080.0,1217430.220768,47813005.805883,0.000000,-53.936270,2.452418,0.000000,-17572386.655212,-132044590.697356,0.000000,31.749635,-3.623306,0.000000,240805908.045196,39429316.907904,0.000000,-5.746000,23.258407,0.000000,102218868.081100,-394559434.108726,0.000000,18.223452,3.583807,0.000000
60085.0,-21324554.778201,43314642.512709,0.000000,-48.405536,-22.751816,0.000000,-3785011.441463,-132880071.411975,0.000000,32.022396,-0.237609,0.000000,238108244.290737,49438547.609134,0.000000,-6.743003,23.073365,0.000000,110071296.876088,-392935675.757588,0.000000,18.129279,3.933149,0.000000
60090.0,-39051899.796460,28986277.798455,0.000000,-32.156968,-42.244553,0.000000,10044047.293167,-132246292.272144,0.000000,31.941674,3.172996,0.000000,234980247.793290,59358395.645858,0.000000,-7.737960,22.844515,0.000000,117881615.738205,-391161585.535396,0.000000,18.028512,4.279768,0.000000
60095.0,-48119481.231399,8212384.719886,0.000000,-9.076857,-52.105678,0.000000,23761091.232341,-130140125.980615,0.000000,31.503398,6.572991,0.000000,231423223.029567,69169833.542936,0.000000,-8.728912,22.571396,0.000000,125646994.237324,-389238365.441174,0.000000,17.921236,4.623546,0.000000
60100.0,-46621259.494561,-14368763.188908,0.000000,15.891038,-50.481397,0.000000,37211366.911238,-126574006.803365,0.000000,30.706793,9.925886,0.000000,227439336.584485,78853653.141198,0.000000,-9.713828,22.253635,0.000000,133364639.314128,-387167267.530293,0.000000,17.807539,4.964369,0.000000
60105.0,-34869379.506055,-33782422.344179,0.000000,37.542316,-37.671174,0.000000,50240540.048584,-121576300.539810,0.000000,29.554616,13.194460,0.000000,223031646.969260,88390504.430491,0.000000,-10.690609,21.890949,0.000000,141031795.981258,-384949592.680997,0.000000,17.687509,5.302124,0.000000
60110.0,-15350646.210688,-45647893.416641,0.000000,51.139578,-16.118335,0.000000,62696273.383102,-115191557.434715,0.000000,28.053394,16.341060,0.000000,218204133.053385,97760937.756931,0.000000,-11.657093,21.483160,0.000000,148645747.983277,-382586689.362608,0.000000,17.561236,5.636705,0.000000
60115.0,7650764.554358,-47082269.990634,0.000000,53.255217,9.732930,0.000000,74429904.812802,-107480623.278125,0.000000,26.213649,19.327961,0.000000,212961720.768258,106945449.437539,0.000000,-12.611060,21.030199,0.000000,156203818.416313,-380079952.406698,0.000000,17.428813,5.968003,0.000000
60120.0,28830503.108029,-37467920.500891,0.000000,42.760059,33.981729,0.000000,85298217.373751,-98520581.889592,0.000000,24.050099,22.117788,0.000000,207310307.720166,115924530.783099,0.000000,-13.550232,20.532112,0.000000,163703370.308299,-377430821.782433,0.000000,17.290333,6.295918,0.000000
60125.0,43048884.540574,-18842232.238138,0.000000,21.633722,50.505681,0.000000,95165286.429117,-88404501.114372,0.000000,21.581809,24.674003,0.000000,201256785.333018,124678720.493563,0.000000,-14.472286,19.989073,0.000000,171141807.160721,-374640781.377259,0.000000,17.145889,6.620347,0.000000
60130.0,46712692.399274,4390802.465529,0.000000,-5.049176,54.796048,0.000000,103904382.510046,-77240954.678156,0.000000,18.832294,26.961454,0.000000,194809058.127140,133188660.349914,0.000000,-15.374857,19.401388,0.000000,178516573.452835,-371711357.784025,0.000000,16.995578,6.941194,0.000000
60135.0,38876941.747049,26545591.623930,0.000000,-30.424318,45.636546,0.000000,111399900.796205,-65153294.058123,0.000000,15.829539,28.946983,0.000000,187976059.730426,141435154.082122,0.000000,-16.255547,18.769502,0.000000,185825155.109323,-368644119.095587,0.000000,16.839495,7.258364,0.000000
60140.0,21553078.921673,42240867.887725,0.000000,-48.059201,25.600914,0.000000,117549280.594924,-52278648.204044,0.000000,12.605928,30.600075,0.000000,180767765.212964,149399229.245129,0.000000,-17.111934,18.094006,0.000000,193065079.932376,-365440673.707855,0.000000,16.677738,7.571766,0.000000
60145.0,-937824.772624,47862420.624569,0.000000,-53.943397,0.022099,0.000000,122264870.835656,-38766634.685000,0.000000,9.198062,31.893542,0.000000,173195199.336561,157062201.884125,0.000000,-17.941582,17.375646,0.000000,200233917.999202,-362102669.132229,0.000000,16.510406,7.881309,0.000000
60150.0,-23236670.619729,42363263.817678,0.000000,-47.304869,-24.868115,0.000000,125475691.104083,-24777773.730725,0.000000,5.646458,32.804211,0.000000,165270440.317223,164405743.717299,0.000000,-18.742051,16.615323,0.000000,207329282.025979,-358631790.818267,0.000000,16.337597,8.186908,0.000000
60155.0,-40298441.532813,27271163.832926,0.000000,-30.238744,-43.604543,0.000000,127129032.733395,-10481606.607787,0.000000,1.995106,33.313600,0.000000,157006618.712157,171411951.509561,0.000000,-19.510912,15.814105,0.000000,214348827.699265,-355029760.987394,0.000000,16.159412,8.488478,0.000000
60160.0,-48436014.903021,6123585.865695,0.000000,-6.767304,-52.448590,0.000000,127191841.610102,3945468.452034,0.000000,-1.709097,33.408546,0.000000,148417911.063927,178063418.255377,0.000000,-20.245754,14.973223,0.000000,221290253.975901,-351298337.478420,0.000000,15.975950,8.785939,0.000000
